morpheme;type;mode;sameSubject;posneg;tense;dialect;specificity;perSubject;numbSubject;perObject;numbObject;V-form;V-actions;V-action1;V-action2;t-form;t-actions;t-action1;t-action2;k-form;k-actions;k-action1;k-action2;q-form;q-actions;q-action1;q-action2;SpecificCondOnPrecMorph;sources
lunga;tv;part;oui;pos;prespas;Cumberland Peninsula;sp;4;d;1;s;lunga;i(l);i(l);;tunga;n;n;;tunga;n;n;;tunga;n;n;;;?
lutit;tv;part;oui;pos;prespas;Cumberland Peninsula;sp;1;d;2;s;lutit;i(l);i(l);;tutit;n;n;;tutit;n;n;;tutit;n;n;;;?
lunitit;tv;part;oui;pos;prespas;Cumberland Peninsula;sp;3;d;2;s;lunitit;i(l);i(l);;tunitit;n;n;;tunitit;n;n;;tunitit;n;n;;;?
lutit;tv;part;oui;pos;prespas;Cumberland Peninsula;sp;4;d;2;s;lutit;i(l);i(l);;tutit;n;n;;tutit;n;n;;tutit;n;n;;;?
lugu;tv;part;oui;pos;prespas;Cumberland Peninsula;sp;1;d;3;s;lugu;i(l);i(l);;tugu;n;n;;tugu;n;n;;tugu;n;n;;;?
lunuk;tv;part;oui;pos;fut;North Baffin, Cumberland Peninsula;sp;2;d;1;d;lunuk;n;n;;lunuk;son;son;;lunuk;son;son;;lunuk;son;son;;;?
lunitiguk;tv;part;oui;pos;fut;North Baffin, Cumberland Peninsula;sp;3;d;1;d;lunitiguk;n;n;;lunitiguk;son;son;;lunitiguk;son;son;;lunitiguk;son;son;;;?
lunuk;tv;part;oui;pos;fut;North Baffin, Cumberland Peninsula;sp;4;d;1;d;lunuk;n;n;;lunuk;son;son;;lunuk;son;son;;lunuk;son;son;;;?
lutik;tv;part;oui;pos;fut;North Baffin, Cumberland Peninsula;sp;1;d;2;d;lutik;n;n;;lutik;son;son;;lutik;son;son;;lutik;son;son;;;?
lunitik;tv;part;oui;pos;fut;North Baffin, Cumberland Peninsula;sp;3;d;2;d;lunitik;n;n;;lunitik;son;son;;lunitik;son;son;;lunitik;son;son;;;?
lutik;tv;part;oui;pos;fut;North Baffin, Cumberland Peninsula;sp;4;d;2;d;lutik;n;n;;lutik;son;son;;lutik;son;son;;lutik;son;son;;;?
lugik;tv;part;oui;pos;fut;North Baffin, Cumberland Peninsula;sp;1;d;3;d;lugik;n;n;;lugik;son;son;;lugik;son;son;;lugik;son;son;;;?
lugik;tv;part;oui;pos;fut;North Baffin, Cumberland Peninsula;sp;2;d;3;d;lugik;n;n;;lugik;son;son;;lugik;son;son;;lugik;son;son;;;?
lunikkik;tv;part;oui;pos;fut;North Baffin, Cumberland Peninsula;sp;3;d;3;d;lunikkik;n;n;;lunikkik;son;son;;lunikkik;son;son;;lunikkik;son;son;;;?
lugik;tv;part;oui;pos;fut;North Baffin, Cumberland Peninsula;sp;4;d;3;d;lugik;n;n;;lugik;son;son;;lugik;son;son;;lugik;son;son;;;?
luta;tv;part;oui;pos;fut;North Baffin, Cumberland Peninsula;sp;2;d;1;p;luta;n;n;;luta;son;son;;luta;son;son;;luta;son;son;;;?
lunitigut;tv;part;oui;pos;fut;North Baffin, Cumberland Peninsula;sp;3;d;1;p;lunitigut;n;n;;lunitigut;son;son;;lunitigut;son;son;;lunitigut;son;son;;;?
luta;tv;part;oui;pos;fut;North Baffin, Cumberland Peninsula;sp;4;d;1;p;luta;n;n;;luta;son;son;;luta;son;son;;luta;son;son;;;?
lusi;tv;part;oui;pos;fut;North Baffin, Cumberland Peninsula;sp;1;d;2;p;lusi;n;n;;lusi;son;son;;lusi;son;son;;lusi;son;son;;;?
lunisi;tv;part;oui;pos;fut;North Baffin, Cumberland Peninsula;sp;3;d;2;p;lunisi;n;n;;lunisi;son;son;;lunisi;son;son;;lunisi;son;son;;;?
lusi;tv;part;oui;pos;fut;North Baffin, Cumberland Peninsula;sp;4;d;2;p;lusi;n;n;;lusi;son;son;;lusi;son;son;;lusi;son;son;;;?
lugu;tv;part;oui;pos;prespas;Cumberland Peninsula;sp;2;d;3;s;lugu;i(l);i(l);;tugu;n;n;;tugu;n;n;;tugu;n;n;;;?
lunikku;tv;part;oui;pos;prespas;Cumberland Peninsula;sp;3;d;3;s;lunikku;i(l);i(l);;tunikku;n;n;;tunikku;n;n;;tunikku;n;n;;;?
lugu;tv;part;oui;pos;prespas;Cumberland Peninsula;sp;4;d;3;s;lugu;i(l);i(l);;tugu;n;n;;tugu;n;n;;tugu;n;n;;;?
lunuk;tv;part;oui;pos;prespas;Cumberland Peninsula;sp;2;d;1;d;lunuk;i(l);i(l);;tunuk;n;n;;tunuk;n;n;;tunuk;n;n;;;?
lunitiguk;tv;part;oui;pos;prespas;Cumberland Peninsula;sp;3;d;1;d;lunitiguk;i(l);i(l);;tunitiguk;n;n;;tunitiguk;n;n;;tunitiguk;n;n;;;?
lugit;tv;part;oui;pos;fut;North Baffin, Cumberland Peninsula;sp;1;d;3;p;lugit;n;n;;lugit;son;son;;lugit;son;son;;lugit;son;son;;;?
lugit;tv;part;oui;pos;fut;North Baffin, Cumberland Peninsula;sp;2;d;3;p;lugit;n;n;;lugit;son;son;;lugit;son;son;;lugit;son;son;;;?
lunikkit;tv;part;oui;pos;fut;North Baffin, Cumberland Peninsula;sp;3;d;3;p;lunikkit;n;n;;lunikkit;son;son;;lunikkit;son;son;;lunikkit;son;son;;;?
lugit;tv;part;oui;pos;fut;North Baffin, Cumberland Peninsula;sp;4;d;3;p;lugit;n;n;;lugit;son;son;;lugit;son;son;;lugit;son;son;;;?
lunga;tv;part;oui;pos;fut;North Baffin, Cumberland Peninsula;sp;2;p;1;s;lunga;n;n;;lunga;son;son;;lunga;son;son;;lunga;son;son;;;?
luninga;tv;part;oui;pos;fut;North Baffin, Cumberland Peninsula;sp;3;p;1;s;luninga;n;n;;luninga;son;son;;luninga;son;son;;luninga;son;son;;;?
lunga;tv;part;oui;pos;fut;North Baffin, Cumberland Peninsula;sp;4;p;1;s;lunga;n;n;;lunga;son;son;;lunga;son;son;;lunga;son;son;;;?
lutit;tv;part;oui;pos;fut;North Baffin, Cumberland Peninsula;sp;1;p;2;s;lutit;n;n;;lutit;son;son;;lutit;son;son;;lutit;son;son;;;?
lunitit;tv;part;oui;pos;fut;North Baffin, Cumberland Peninsula;sp;3;p;2;s;lunitit;n;n;;lunitit;son;son;;lunitit;son;son;;lunitit;son;son;;;?
lutit;tv;part;oui;pos;fut;North Baffin, Cumberland Peninsula;sp;4;p;2;s;lutit;n;n;;lutit;son;son;;lutit;son;son;;lutit;son;son;;;?
lugu;tv;part;oui;pos;fut;North Baffin, Cumberland Peninsula;sp;1;p;3;s;lugu;n;n;;lugu;son;son;;lugu;son;son;;lugu;son;son;;;?
lugu;tv;part;oui;pos;fut;North Baffin, Cumberland Peninsula;sp;2;p;3;s;lugu;n;n;;lugu;son;son;;lugu;son;son;;lugu;son;son;;;?
lunijjuk;tv;part;oui;pos;fut;North Baffin, Cumberland Peninsula;sp;3;p;3;s;lunijjuk;n;n;;lunijjuk;son;son;;lunijjuk;son;son;;lunijjuk;son;son;;;?
lugu;tv;part;oui;pos;fut;North Baffin, Cumberland Peninsula;sp;4;p;3;s;lugu;n;n;;lugu;son;son;;lugu;son;son;;lugu;son;son;;;?
lunuk;tv;part;oui;pos;fut;North Baffin, Cumberland Peninsula;sp;2;p;1;d;lunuk;n;n;;lunuk;son;son;;lunuk;son;son;;lunuk;son;son;;;?
lunitiguk;tv;part;oui;pos;fut;North Baffin, Cumberland Peninsula;sp;3;p;1;d;lunitiguk;n;n;;lunitiguk;son;son;;lunitiguk;son;son;;lunitiguk;son;son;;;?
lunuk;tv;part;oui;pos;prespas;Cumberland Peninsula;sp;4;d;1;d;lunuk;i(l);i(l);;tunuk;n;n;;tunuk;n;n;;tunuk;n;n;;;?
lutik;tv;part;oui;pos;prespas;Cumberland Peninsula;sp;1;d;2;d;lutik;i(l);i(l);;tutik;n;n;;tutik;n;n;;tutik;n;n;;;?
lunitik;tv;part;oui;pos;prespas;Cumberland Peninsula;sp;3;d;2;d;lunitik;i(l);i(l);;tunitik;n;n;;tunitik;n;n;;tunitik;n;n;;;?
lutik;tv;part;oui;pos;prespas;Cumberland Peninsula;sp;4;d;2;d;lutik;i(l);i(l);;tutik;n;n;;tutik;n;n;;tutik;n;n;;;?
lugik;tv;part;oui;pos;prespas;Cumberland Peninsula;sp;1;d;3;d;lugik;i(l);i(l);;tugik;n;n;;tugik;n;n;;tugik;n;n;;;?
lunuk;tv;part;oui;pos;fut;North Baffin, Cumberland Peninsula;sp;4;p;1;d;lunuk;n;n;;lunuk;son;son;;lunuk;son;son;;lunuk;son;son;;;?
lutik;tv;part;oui;pos;fut;North Baffin, Cumberland Peninsula;sp;1;p;2;d;lutik;n;n;;lutik;son;son;;lutik;son;son;;lutik;son;son;;;?
lunitik;tv;part;oui;pos;fut;North Baffin, Cumberland Peninsula;sp;3;p;2;d;lunitik;n;n;;lunitik;son;son;;lunitik;son;son;;lunitik;son;son;;;?
lutik;tv;part;oui;pos;fut;North Baffin, Cumberland Peninsula;sp;4;p;2;d;lutik;n;n;;lutik;son;son;;lutik;son;son;;lutik;son;son;;;?
lugik;tv;part;oui;pos;fut;North Baffin, Cumberland Peninsula;sp;1;p;3;d;lugik;n;n;;lugik;son;son;;lugik;son;son;;lugik;son;son;;;?
lugik;tv;part;oui;pos;fut;North Baffin, Cumberland Peninsula;sp;2;p;3;d;lugik;n;n;;lugik;son;son;;lugik;son;son;;lugik;son;son;;;?
lunigik;tv;part;oui;pos;fut;North Baffin, Cumberland Peninsula;sp;3;p;3;d;lunigik;n;n;;lunigik;son;son;;lunigik;son;son;;lunigik;son;son;;;?
lugik;tv;part;oui;pos;fut;North Baffin, Cumberland Peninsula;sp;4;p;3;d;lugik;n;n;;lugik;son;son;;lugik;son;son;;lugik;son;son;;;?
luta;tv;part;oui;pos;fut;North Baffin, Cumberland Peninsula;sp;2;p;1;p;luta;n;n;;luta;son;son;;luta;son;son;;luta;son;son;;;?
lunitigut;tv;part;oui;pos;fut;North Baffin, Cumberland Peninsula;sp;3;p;1;p;lunitigut;n;n;;lunitigut;son;son;;lunitigut;son;son;;lunitigut;son;son;;;?
luta;tv;part;oui;pos;fut;North Baffin, Cumberland Peninsula;sp;4;p;1;p;luta;n;n;;luta;son;son;;luta;son;son;;luta;son;son;;;?
lusi;tv;part;oui;pos;fut;North Baffin, Cumberland Peninsula;sp;1;p;2;p;lusi;n;n;;lusi;son;son;;lusi;son;son;;lusi;son;son;;;?
lunisi;tv;part;oui;pos;fut;North Baffin, Cumberland Peninsula;sp;3;p;2;p;lunisi;n;n;;lunisi;son;son;;lunisi;son;son;;lunisi;son;son;;;?
lusi;tv;part;oui;pos;fut;North Baffin, Cumberland Peninsula;sp;4;p;2;p;lusi;n;n;;lusi;son;son;;lusi;son;son;;lusi;son;son;;;?
lugit;tv;part;oui;pos;fut;North Baffin, Cumberland Peninsula;sp;1;p;3;p;lugit;n;n;;lugit;son;son;;lugit;son;son;;lugit;son;son;;;?
lugit;tv;part;oui;pos;fut;North Baffin, Cumberland Peninsula;sp;2;p;3;p;lugit;n;n;;lugit;son;son;;lugit;son;son;;lugit;son;son;;;?
lugik;tv;part;oui;pos;prespas;Cumberland Peninsula;sp;2;d;3;d;lugik;i(l);i(l);;tugik;n;n;;tugik;n;n;;tugik;n;n;;;?
lunikkik;tv;part;oui;pos;prespas;Cumberland Peninsula;sp;3;d;3;d;lunikkik;i(l);i(l);;tunikkik;n;n;;tunikkik;n;n;;tunikkik;n;n;;;?
lugik;tv;part;oui;pos;prespas;Cumberland Peninsula;sp;4;d;3;d;lugik;i(l);i(l);;tugik;n;n;;tugik;n;n;;tugik;n;n;;;?
luta;tv;part;oui;pos;prespas;Cumberland Peninsula;sp;2;d;1;p;luta;i(l);i(l);;tuta;n;n;;tuta;n;n;;tuta;n;n;;;?
lunigit;tv;part;oui;pos;fut;North Baffin, Cumberland Peninsula;sp;3;p;3;p;lunigit;n;n;;lunigit;son;son;;lunigit;son;son;;lunigit;son;son;;;?
lugit;tv;part;oui;pos;fut;North Baffin, Cumberland Peninsula;sp;4;p;3;p;lugit;n;n;;lugit;son;son;;lugit;son;son;;lugit;son;son;;;?
tillunga;tv;part;non;pos;;North Baffin, Cumberland Peninsula;sp;2;s;1;s;tillunga;n;n;;tillunga tillunga;n s;n s;;tillunga;n;n;;tillunga;n;n;;;?
tilluninga;tv;part;non;pos;;North Baffin, Cumberland Peninsula;sp;3;s;1;s;tilluninga;n;n;;tilluninga tilluninga;n s;n s;;tilluninga;n;n;;tilluninga;n;n;;;?
tillunga;tv;part;non;pos;;North Baffin, Cumberland Peninsula;sp;4;s;1;s;tillunga;n;n;;tillunga tillunga;n s;n s;;tillunga;n;n;;tillunga;n;n;;;?
tillutit;tv;part;non;pos;;North Baffin, Cumberland Peninsula;sp;1;s;2;s;tillutit;n;n;;tillutit tillutit;n s;n s;;tillutit;n;n;;tillutit;n;n;;;?
tillunitit;tv;part;non;pos;;North Baffin, Cumberland Peninsula;sp;3;s;2;s;tillunitit;n;n;;tillunitit tillunitit;n s;n s;;tillunitit;n;n;;tillunitit;n;n;;;?
tillutit;tv;part;non;pos;;North Baffin, Cumberland Peninsula;sp;4;s;2;s;tillutit;n;n;;tillutit tillutit;n s;n s;;tillutit;n;n;;tillutit;n;n;;;?
tillugu;tv;part;non;pos;;North Baffin, Cumberland Peninsula;sp;1;s;3;s;tillugu;n;n;;tillugu tillugu;n s;n s;;tillugu;n;n;;tillugu;n;n;;;?
tillugu;tv;part;non;pos;;North Baffin, Cumberland Peninsula;sp;2;s;3;s;tillugu;n;n;;tillugu tillugu;n s;n s;;tillugu;n;n;;tillugu;n;n;;;?
tilluniuk;tv;part;non;pos;;North Baffin, Cumberland Peninsula;sp;3;s;3;s;tilluniuk;n;n;;tilluniuk tilluniuk;n s;n s;;tilluniuk;n;n;;tilluniuk;n;n;;;?
tillugu;tv;part;non;pos;;North Baffin, Cumberland Peninsula;sp;4;s;3;s;tillugu;n;n;;tillugu tillugu;n s;n s;;tillugu;n;n;;tillugu;n;n;;;?
tillunuk;tv;part;non;pos;;North Baffin, Cumberland Peninsula;sp;2;s;1;d;tillunuk;n;n;;tillunuk tillunuk;n s;n s;;tillunuk;n;n;;tillunuk;n;n;;;?
tillunitiguk;tv;part;non;pos;;North Baffin, Cumberland Peninsula;sp;3;s;1;d;tillunitiguk;n;n;;tillunitiguk tillunitiguk;n s;n s;;tillunitiguk;n;n;;tillunitiguk;n;n;;;?
tillunuk;tv;part;non;pos;;North Baffin, Cumberland Peninsula;sp;4;s;1;d;tillunuk;n;n;;tillunuk tillunuk;n s;n s;;tillunuk;n;n;;tillunuk;n;n;;;?
tillutik;tv;part;non;pos;;North Baffin, Cumberland Peninsula;sp;1;s;2;d;tillutik;n;n;;tillutik tillutik;n s;n s;;tillutik;n;n;;tillutik;n;n;;;?
tillunitik;tv;part;non;pos;;North Baffin, Cumberland Peninsula;sp;3;s;2;d;tillunitik;n;n;;tillunitik tillunitik;n s;n s;;tillunitik;n;n;;tillunitik;n;n;;;?
lunitigut;tv;part;oui;pos;prespas;Cumberland Peninsula;sp;3;d;1;p;lunitigut;i(l);i(l);;tunitigut;n;n;;tunitigut;n;n;;tunitigut;n;n;;;?
luta;tv;part;oui;pos;prespas;Cumberland Peninsula;sp;4;d;1;p;luta;i(l);i(l);;tuta;n;n;;tuta;n;n;;tuta;n;n;;;?
lusi;tv;part;oui;pos;prespas;Cumberland Peninsula;sp;1;d;2;p;lusi;i(l);i(l);;tusi;n;n;;tusi;n;n;;tusi;n;n;;;?
tillutik;tv;part;non;pos;;North Baffin, Cumberland Peninsula;sp;4;s;2;d;tillutik;n;n;;tillutik tillutik;n s;n s;;tillutik;n;n;;tillutik;n;n;;;?
tillugik;tv;part;non;pos;;North Baffin, Cumberland Peninsula;sp;1;s;3;d;tillugik;n;n;;tillugik tillugik;n s;n s;;tillugik;n;n;;tillugik;n;n;;;?
tillugik;tv;part;non;pos;;North Baffin, Cumberland Peninsula;sp;2;s;3;d;tillugik;n;n;;tillugik tillugik;n s;n s;;tillugik;n;n;;tillugik;n;n;;;?
tillunigik;tv;part;non;pos;;North Baffin, Cumberland Peninsula;sp;3;s;3;d;tillunigik;n;n;;tillunigik tillunigik;n s;n s;;tillunigik;n;n;;tillunigik;n;n;;;?
tillugik;tv;part;non;pos;;North Baffin, Cumberland Peninsula;sp;4;s;3;d;tillugik;n;n;;tillugik tillugik;n s;n s;;tillugik;n;n;;tillugik;n;n;;;?
tilluta;tv;part;non;pos;;North Baffin, Cumberland Peninsula;sp;2;s;1;p;tilluta;n;n;;tilluta tilluta;n s;n s;;tilluta;n;n;;tilluta;n;n;;;?
tillunitigut;tv;part;non;pos;;North Baffin, Cumberland Peninsula;sp;3;s;1;p;tillunitigut;n;n;;tillunitigut tillunitigut;n s;n s;;tillunitigut;n;n;;tillunitigut;n;n;;;?
tilluta;tv;part;non;pos;;North Baffin, Cumberland Peninsula;sp;4;s;1;p;tilluta;n;n;;tilluta tilluta;n s;n s;;tilluta;n;n;;tilluta;n;n;;;?
tillusi;tv;part;non;pos;;North Baffin, Cumberland Peninsula;sp;1;s;2;p;tillusi;n;n;;tillusi tillusi;n s;n s;;tillusi;n;n;;tillusi;n;n;;;?
tillunisi;tv;part;non;pos;;North Baffin, Cumberland Peninsula;sp;3;s;2;p;tillunisi;n;n;;tillunisi tillunisi;n s;n s;;tillunisi;n;n;;tillunisi;n;n;;;?
tillusi;tv;part;non;pos;;North Baffin, Cumberland Peninsula;sp;4;s;2;p;tillusi;n;n;;tillusi tillusi;n s;n s;;tillusi;n;n;;tillusi;n;n;;;?
tillugit;tv;part;non;pos;;North Baffin, Cumberland Peninsula;sp;1;s;3;p;tillugit;n;n;;tillugit tillugit;n s;n s;;tillugit;n;n;;tillugit;n;n;;;?
tillugit;tv;part;non;pos;;North Baffin, Cumberland Peninsula;sp;2;s;3;p;tillugit;n;n;;tillugit tillugit;n s;n s;;tillugit;n;n;;tillugit;n;n;;;?
tillunigit;tv;part;non;pos;;North Baffin, Cumberland Peninsula;sp;3;s;3;p;tillunigit;n;n;;tillunigit tillunigit;n s;n s;;tillunigit;n;n;;tillunigit;n;n;;;?
tillugit;tv;part;non;pos;;North Baffin, Cumberland Peninsula;sp;4;s;3;p;tillugit;n;n;;tillugit tillugit;n s;n s;;tillugit;n;n;;tillugit;n;n;;;?
tillunga;tv;part;non;pos;;North Baffin, Cumberland Peninsula;sp;2;d;1;s;tillunga;n;n;;tillunga tillunga;n s;n s;;tillunga;n;n;;tillunga;n;n;;;?
tilluninga;tv;part;non;pos;;North Baffin, Cumberland Peninsula;sp;3;d;1;s;tilluninga;n;n;;tilluninga tilluninga;n s;n s;;tilluninga;n;n;;tilluninga;n;n;;;?
tillunga;tv;part;non;pos;;North Baffin, Cumberland Peninsula;sp;4;d;1;s;tillunga;n;n;;tillunga tillunga;n s;n s;;tillunga;n;n;;tillunga;n;n;;;?
lunisi;tv;part;oui;pos;prespas;Cumberland Peninsula;sp;3;d;2;p;lunisi;i(l);i(l);;tunisi;n;n;;tunisi;n;n;;tunisi;n;n;;;?
lusi;tv;part;oui;pos;prespas;Cumberland Peninsula;sp;4;d;2;p;lusi;i(l);i(l);;tusi;n;n;;tusi;n;n;;tusi;n;n;;;?
tillutit;tv;part;non;pos;;North Baffin, Cumberland Peninsula;sp;1;d;2;s;tillutit;n;n;;tillutit tillutit;n s;n s;;tillutit;n;n;;tillutit;n;n;;;?
tillunitit;tv;part;non;pos;;North Baffin, Cumberland Peninsula;sp;3;d;2;s;tillunitit;n;n;;tillunitit tillunitit;n s;n s;;tillunitit;n;n;;tillunitit;n;n;;;?
tillutit;tv;part;non;pos;;North Baffin, Cumberland Peninsula;sp;4;d;2;s;tillutit;n;n;;tillutit tillutit;n s;n s;;tillutit;n;n;;tillutit;n;n;;;?
tillugu;tv;part;non;pos;;North Baffin, Cumberland Peninsula;sp;1;d;3;s;tillugu;n;n;;tillugu tillugu;n s;n s;;tillugu;n;n;;tillugu;n;n;;;?
tillugu;tv;part;non;pos;;North Baffin, Cumberland Peninsula;sp;2;d;3;s;tillugu;n;n;;tillugu tillugu;n s;n s;;tillugu;n;n;;tillugu;n;n;;;?
tillunikku;tv;part;non;pos;;North Baffin, Cumberland Peninsula;sp;3;d;3;s;tillunikku;n;n;;tillunikku tillunikku;n s;n s;;tillunikku;n;n;;tillunikku;n;n;;;?
tillugu;tv;part;non;pos;;North Baffin, Cumberland Peninsula;sp;4;d;3;s;tillugu;n;n;;tillugu tillugu;n s;n s;;tillugu;n;n;;tillugu;n;n;;;?
tillunuk;tv;part;non;pos;;North Baffin, Cumberland Peninsula;sp;2;d;1;d;tillunuk;n;n;;tillunuk tillunuk;n s;n s;;tillunuk;n;n;;tillunuk;n;n;;;?
tillunitiguk;tv;part;non;pos;;North Baffin, Cumberland Peninsula;sp;3;d;1;d;tillunitiguk;n;n;;tillunitiguk tillunitiguk;n s;n s;;tillunitiguk;n;n;;tillunitiguk;n;n;;;?
tillunuk;tv;part;non;pos;;North Baffin, Cumberland Peninsula;sp;4;d;1;d;tillunuk;n;n;;tillunuk tillunuk;n s;n s;;tillunuk;n;n;;tillunuk;n;n;;;?
tillutik;tv;part;non;pos;;North Baffin, Cumberland Peninsula;sp;1;d;2;d;tillutik;n;n;;tillutik tillutik;n s;n s;;tillutik;n;n;;tillutik;n;n;;;?
tillunitik;tv;part;non;pos;;North Baffin, Cumberland Peninsula;sp;3;d;2;d;tillunitik;n;n;;tillunitik tillunitik;n s;n s;;tillunitik;n;n;;tillunitik;n;n;;;?
tillutik;tv;part;non;pos;;North Baffin, Cumberland Peninsula;sp;4;d;2;d;tillutik;n;n;;tillutik tillutik;n s;n s;;tillutik;n;n;;tillutik;n;n;;;?
tillugik;tv;part;non;pos;;North Baffin, Cumberland Peninsula;sp;1;d;3;d;tillugik;n;n;;tillugik tillugik;n s;n s;;tillugik;n;n;;tillugik;n;n;;;?
tillugik;tv;part;non;pos;;North Baffin, Cumberland Peninsula;sp;2;d;3;d;tillugik;n;n;;tillugik tillugik;n s;n s;;tillugik;n;n;;tillugik;n;n;;;?
tillunikkik;tv;part;non;pos;;North Baffin, Cumberland Peninsula;sp;3;d;3;d;tillunikkik;n;n;;tillunikkik tillunikkik;n s;n s;;tillunikkik;n;n;;tillunikkik;n;n;;;?
tillugik;tv;part;non;pos;;North Baffin, Cumberland Peninsula;sp;4;d;3;d;tillugik;n;n;;tillugik tillugik;n s;n s;;tillugik;n;n;;tillugik;n;n;;;?
tilluta;tv;part;non;pos;;North Baffin, Cumberland Peninsula;sp;2;d;1;p;tilluta;n;n;;tilluta tilluta;n s;n s;;tilluta;n;n;;tilluta;n;n;;;?
lugit;tv;part;oui;pos;prespas;Cumberland Peninsula;sp;1;d;3;p;lugit;i(l);i(l);;tugit;n;n;;tugit;n;n;;tugit;n;n;;;?
lugit;tv;part;oui;pos;prespas;Cumberland Peninsula;sp;2;d;3;p;lugit;i(l);i(l);;tugit;n;n;;tugit;n;n;;tugit;n;n;;;?
tillunitigut;tv;part;non;pos;;North Baffin, Cumberland Peninsula;sp;3;d;1;p;tillunitigut;n;n;;tillunitigut tillunitigut;n s;n s;;tillunitigut;n;n;;tillunitigut;n;n;;;?
tilluta;tv;part;non;pos;;North Baffin, Cumberland Peninsula;sp;4;d;1;p;tilluta;n;n;;tilluta tilluta;n s;n s;;tilluta;n;n;;tilluta;n;n;;;?
tillusi;tv;part;non;pos;;North Baffin, Cumberland Peninsula;sp;1;d;2;p;tillusi;n;n;;tillusi tillusi;n s;n s;;tillusi;n;n;;tillusi;n;n;;;?
tillunisi;tv;part;non;pos;;North Baffin, Cumberland Peninsula;sp;3;d;2;p;tillunisi;n;n;;tillunisi tillunisi;n s;n s;;tillunisi;n;n;;tillunisi;n;n;;;?
tillusi;tv;part;non;pos;;North Baffin, Cumberland Peninsula;sp;4;d;2;p;tillusi;n;n;;tillusi tillusi;n s;n s;;tillusi;n;n;;tillusi;n;n;;;?
tillugit;tv;part;non;pos;;North Baffin, Cumberland Peninsula;sp;1;d;3;p;tillugit;n;n;;tillugit tillugit;n s;n s;;tillugit;n;n;;tillugit;n;n;;;?
tillugit;tv;part;non;pos;;North Baffin, Cumberland Peninsula;sp;2;d;3;p;tillugit;n;n;;tillugit tillugit;n s;n s;;tillugit;n;n;;tillugit;n;n;;;?
tillunikkit;tv;part;non;pos;;North Baffin, Cumberland Peninsula;sp;3;d;3;p;tillunikkit;n;n;;tillunikkit tillunikkit;n s;n s;;tillunikkit;n;n;;tillunikkit;n;n;;;?
tillugit;tv;part;non;pos;;North Baffin, Cumberland Peninsula;sp;4;d;3;p;tillugit;n;n;;tillugit tillugit;n s;n s;;tillugit;n;n;;tillugit;n;n;;;?
tillunga;tv;part;non;pos;;North Baffin, Cumberland Peninsula;sp;2;p;1;s;tillunga;n;n;;tillunga tillunga;n s;n s;;tillunga;n;n;;tillunga;n;n;;;?
tilluninga;tv;part;non;pos;;North Baffin, Cumberland Peninsula;sp;3;p;1;s;tilluninga;n;n;;tilluninga tilluninga;n s;n s;;tilluninga;n;n;;tilluninga;n;n;;;?
tillunga;tv;part;non;pos;;North Baffin, Cumberland Peninsula;sp;4;p;1;s;tillunga;n;n;;tillunga tillunga;n s;n s;;tillunga;n;n;;tillunga;n;n;;;?
tillutit;tv;part;non;pos;;North Baffin, Cumberland Peninsula;sp;1;p;2;s;tillutit;n;n;;tillutit tillutit;n s;n s;;tillutit;n;n;;tillutit;n;n;;;?
tillunitit;tv;part;non;pos;;North Baffin, Cumberland Peninsula;sp;3;p;2;s;tillunitit;n;n;;tillunitit tillunitit;n s;n s;;tillunitit;n;n;;tillunitit;n;n;;;?
tillutit;tv;part;non;pos;;North Baffin, Cumberland Peninsula;sp;4;p;2;s;tillutit;n;n;;tillutit tillutit;n s;n s;;tillutit;n;n;;tillutit;n;n;;;?
tillugu;tv;part;non;pos;;North Baffin, Cumberland Peninsula;sp;1;p;3;s;tillugu;n;n;;tillugu tillugu;n s;n s;;tillugu;n;n;;tillugu;n;n;;;?
tillugu;tv;part;non;pos;;North Baffin, Cumberland Peninsula;sp;2;p;3;s;tillugu;n;n;;tillugu tillugu;n s;n s;;tillugu;n;n;;tillugu;n;n;;;?
tillunijjuk;tv;part;non;pos;;North Baffin, Cumberland Peninsula;sp;3;p;3;s;tillunijjuk;n;n;;tillunijjuk tillunijjuk;n s;n s;;tillunijjuk;n;n;;tillunijjuk;n;n;;;?
lunikkit;tv;part;oui;pos;prespas;Cumberland Peninsula;sp;3;d;3;p;lunikkit;i(l);i(l);;tunikkit;n;n;;tunikkit;n;n;;tunikkit;n;n;;;?
lugit;tv;part;oui;pos;prespas;Cumberland Peninsula;sp;4;d;3;p;lugit;i(l);i(l);;tugit;n;n;;tugit;n;n;;tugit;n;n;;;?
tillugu;tv;part;non;pos;;North Baffin, Cumberland Peninsula;sp;4;p;3;s;tillugu;n;n;;tillugu tillugu;n s;n s;;tillugu;n;n;;tillugu;n;n;;;?
tillunuk;tv;part;non;pos;;North Baffin, Cumberland Peninsula;sp;2;p;1;d;tillunuk;n;n;;tillunuk tillunuk;n s;n s;;tillunuk;n;n;;tillunuk;n;n;;;?
tillunitiguk;tv;part;non;pos;;North Baffin, Cumberland Peninsula;sp;3;p;1;d;tillunitiguk;n;n;;tillunitiguk tillunitiguk;n s;n s;;tillunitiguk;n;n;;tillunitiguk;n;n;;;?
tillunuk;tv;part;non;pos;;North Baffin, Cumberland Peninsula;sp;4;p;1;d;tillunuk;n;n;;tillunuk tillunuk;n s;n s;;tillunuk;n;n;;tillunuk;n;n;;;?
