morpheme;type;mode;sameSubject;posneg;tense;dialect;specificity;perSubject;numbSubject;perObject;numbObject;V-form;V-actions;V-action1;V-action2;t-form;t-actions;t-action1;t-action2;k-form;k-actions;k-action1;k-action2;q-form;q-actions;q-action1;q-action2;SpecificCondOnPrecMorph;sources
lutik;tv;part;oui;pos;fut;North Baffin, Cumberland Peninsula;nsp;3;d;;;lutik;n;n;;lutik;son;son;;lutik;son;son;;lutik;son;son;;;M1 H2
luta;tv;part;oui;pos;fut;North Baffin, Cumberland Peninsula;nsp;1;p;;;luta;n;n;;luta;son;son;;luta;son;son;;luta;son;son;;;M1 H2
lusi;tv;part;oui;pos;fut;North Baffin, Cumberland Peninsula;nsp;2;p;;;lusi;n;n;;lusi;son;son;;lusi;son;son;;lusi;son;son;;;M1 H2
lutik;tv;part;oui;pos;fut;North Baffin, Cumberland Peninsula;nsp;3;p;;;lutik;n;n;;lutik;son;son;;lutik;son;son;;lutik;son;son;;;M1 H2
tillunga;tv;part;non;pos;;North Baffin, Cumberland Peninsula;nsp;1;s;;;tillunga;n;n;;tillunga tillunga;s n;s n;;tillunga;n;n;;tillunga;n;n;;;M1 H2
tillutit;tv;part;non;pos;;North Baffin, Cumberland Peninsula;nsp;2;s;;;tillutit;n;n;;tillutit tillutit;s n;s n;;tillutit;n;n;;tillutit;n;n;;;M1 H2
tillugu;tv;part;non;pos;;North Baffin, Cumberland Peninsula;nsp;3;s;;;tillugu;n;n;;tillugu tillugu;s n;s n;;tillugu;n;n;;tillugu;n;n;;;M1 H2
tillunuk;tv;part;non;pos;;North Baffin, Cumberland Peninsula;nsp;1;d;;;tillunuk;n;n;;tillunuk tillunuk;s n;s n;;tillunuk;n;n;;tillunuk;n;n;;;M1 H2
tillusik;tv;part;non;pos;;North Baffin, Cumberland Peninsula;nsp;2;d;;;tillusik;n;n;;tillusik tillusik;s n;s n;;tillusik;n;n;;tillusik;n;n;;;M1 H2
tillugik;tv;part;non;pos;;North Baffin, Cumberland Peninsula;nsp;3;d;;;tillugik;n;n;;tillugik tillugik;s n;s n;;tillugik;n;n;;tillugik;n;n;;;M1 H2
tilluta;tv;part;non;pos;;North Baffin, Cumberland Peninsula;nsp;1;p;;;tilluta;n;n;;tilluta tilluta;s n;s n;;tilluta;n;n;;tilluta;n;n;;;M1 H2
tillusi;tv;part;non;pos;;North Baffin, Cumberland Peninsula;nsp;2;p;;;tillusi;n;n;;tillusi tillusi;s n;s n;;tillusi;n;n;;tillusi;n;n;;;M1 H2
tillugit;tv;part;non;pos;;North Baffin, Cumberland Peninsula;nsp;3;p;;;tillugit;n;n;;tillugit tillugit;s n;s n;;tillugit;n;n;;tillugit;n;n;;;M1 H2
nanga;tv;part;oui;neg;;North Baffin, Cumberland Peninsula;nsp;1;s;;;nanga;n;n;;nanga;nas;nas;;nanga;nas;nas;;nanga ranga;nas s;nas s;;;M1 H2
