morpheme;type;mode;specificity;perSubject;numbSubject;perObject;numbObject;V-form;V-actions;V-action1;V-action2;t-form;t-actions;t-action1;t-action2;k-form;k-actions;k-action1;k-action2;q-form;q-actions;q-action1;q-action2;SpecificCondOnPrecMorph;sources
patik;tv;cond;nsp;4;d;;;patik;i(k);i(k) i(p);;patik;a;a;;patik;n;n;;patik;n;n;;;?
gupta;tv;cond;nsp;1;p;;;gupta;n;n;;kupta;a;a;;kupta;n;n;;rupta;s;fus;;;?
gussi;tv;cond;nsp;2;p;;;gussi gupsi gutsi;n n n;n;;kussi kupsi kutsi;a a a;a;;kussi kupsi kutsi;n n n;n;;russi rupsi rutsi;s s s;fus;;;?
gunik;tv;cond;nsp;3;p;;;gunik;n;n;;kunik;a;a;;kunik;n;n;;runik;s;fus;;;?
pata;tv;cond;nsp;4;p;;;pata;i(k);i(k) i(p);;pata;a;a;;pata;n;n;;pata;n;n;;;?
vaattinga;tv;dec;sp;2;d;1;s;vaattinga;n;n;;paattinga;a;a;;paattinga;n;n;;paattinga qaattinga;n son;n son;;;?
vaanga;tv;dec;sp;3;d;1;s;vaanga;n;n;;paanga;a;a;;paanga;n;n;;paanga qaanga;n son;n son;;;?
vattigik;tv;dec;sp;1;d;2;s;vattigik;n;n;;pattigik;a;a;;pattigik;n;n;;pattigik qattigik;n son;n son;;;?
vaatit;tv;dec;sp;3;d;2;s;vaatit;n;n;;paatit;a;a;;paatit;n;n;;paatit qaatit;n son;n son;;;?
vavuk;tv;dec;sp;1;d;3;s;vavuk;n;n;;pavuk;a;a;;pavuk;n;n;;pavuk qavuk;n son;n son;;;?
vasik;tv;dec;sp;2;d;3;s;vasik vatik;n n;n;;pasik patik;a a;a;;pasik patik;n n;n;;pasik patik qasik qatik;n n son son;n n son son;;;?
vangak;tv;dec;sp;3;d;3;s;vangak;n;n;;pangak;a;a;;pangak;n;n;;pangak qangak;n son;n son;;;?
vaattiguk;tv;dec;sp;2;d;1;d;vaattiguk;n;n;;paattiguk;a;a;;paattiguk;n;n;;paattiguk qaattiguk;n son;n son;;;?
vaatiguk;tv;dec;sp;3;d;1;d;vaatiguk;n;n;;paatiguk;a;a;;paatiguk;n;n;;paatiguk qaatiguk;n son;n son;;;?
vassik;tv;dec;sp;1;d;2;d;vassik;n;n;;passik;a;a;;passik;n;n;;passik qassik;n son;n son;;;?
