morpheme;key;type;function;position;transitivity;nature;plural;antipassive;V-form;V-actions;V-action1;V-action2;t-form;t-actions;t-action1;t-action2;k-form;k-actions;k-action1;k-action2;q-form;q-actions;q-action1;q-action2;engMean;freMean;condPrec;condPrecTrans;condOnNext;sources;composition;dialect;mobility
mmarik;2;sv;vv;m;n;;;;mmarik;n;n;;mmarik;s;s;;mmarik;s;s;;mmarik;s;s;;certainty: 'really', 'certainly';certitude: 'réellement', 'certainement';;;;H1;;;m
mmiaq;1;sv;vv;m;n;;;;mmiaq miaq;n n;n;;mmiaq miaq;s s;s;;mmiaq miaq;s s;s;;mmiaq miaq;s s;s;;contituity in the action;;;;;;;;
najaq;1;sv;vv;m;n;;;;najaq gajaq;n n;n;;najaq;a;a;;gajaq;s;s;;rajaq;s;s;;action dependent on a condition: 'would';action dépendante d'une condition;;;;H1 A1;;;m
nanngit;1;sv;vv;m;n;;;;nanngit;n;n;;nanngit;nas;nas;;naangit;nas;nas;;nanngit;nas;nas;;to prevent;empêcher;;;;H1;naq/1vv+nngit/1vv;;m
naq;2;sv;vn;t;;;;;naq naq nak nak;n i(n) n i(n);n i(n) n i(n);;naq nak;nas nas;nas;;naq nak;nas nas;nas;;naq nak;nas nas;nas;;1) exclamation: how...it is! 2) that which causes...;1) exclamation: comme c'est...! 2) qqch. qui cause...;;;;H1;;;nm
naq;1;sv;vv;m;n;;;;naq naq nak nak;n i(n) n i(n);n i(n) n i(n);;naq nak;nas nas;nas;;naq nak;nas nas;nas;;naq nak;nas nas;nas;;causation: 'to cause';;;;;;;;
nasaaq;1;sv;vv;m;n;;;;nasaaq;n;n;;nasaaq;son;son;;nasaaq;son;son;;nasaaq;son;son;;late;tard;;;;H1;;;m
nasugi;1;sv;vv;m;t;;;ksi/1vv;nasugi;n;n;;nasugi;a;a;;nasugi gasugi;a s;a s;;rasugi;s;s;;to think, to be of the the opinion that s.o. (refl.: oneself) ...;penser, avoir l'opnion que qqn (réfl.: soi-même) ...;;;;H1;;;m
nasuk;1;sv;vv;m;n;;;;nasuk gasuk gasuaq;n n n;n;;nasuk nasuaq;a a;a;;gasuk gasuaq;s s;s;;rasuk rasuaq;s s;s;;endeavouring, striving: 'to be trying';essayer;;;;H1 A1;;;m
nga;1;sv;vv;m;n;;;;nga;n;n;;nga;s;s;;nga;s;s;;nga;s;s;;to be in a state of;être dans un état de;;;;;;;m
ngaaq;3;sn;nn;t;;;;;ngaaq;n;n;;ngaaq;nas;nas;;ngaaq;nas;nas;;ngaaq;nas;nas;;rather, instead;plutôt, au lieu;;;;H1;;;m
ngaaq;2;sv;vv;m;n;;;;ngaaq;n;n;;ngaaq;nas;nas;;ngaaq;nas;nas;;ngaaq;nas;nas;;to do one action as opposed to an alternative: 'instead';;;;;;;;
ngaaq;1;sn;nv;m;i;;;;0;;0;;ngaaq;nas;nas;;0;0;0;;0;0;0;;to come from;venir de;case:abl;;;H1;;;m
ngau;1;sn;nv;m;i;;;;0;;0;;ngau;nas;nas;;0;0;0;;0;0;0;;motion towards;;;;;;;;
ngu;1;sn;nv;m;i;;;;ngu;n;n;;ngu;s;s;;ngu;s;s;;ngu;s;s;;with body parts: illness, soreness: 'to have sore ...';;;;;;;;
nguq;1;sn;nv;m;t;;;i/1vv;nguq nnguq;n n;n;;nguq nnguq;i(i) i(i);i(i);;nguq nnguq;nas nas;nas;;ruq nguq nnguq;s s s;s s s;;change of state: 'to become' (trans.: to make s.o. become);;;;;;;;
nialauq;1;sv;vv;m;n;;;;nialauq;n;n;;nialauq;nas;nas;;nialauq;nas;nas;;nialauq;nas;nas;;was/were going to';;;;;;;;
