morpheme,type,mode,specificity,perSubject,numbSubject,perObject,numbObject,V-form,V-action1,V-action2,t-form,t-action1,t-action2,k-form,k-action1,k-action2,q-form,q-action1,q-action2,condPrecSpecific,sources
vaatit,tv,dec,sp,3,p,2,s,,n,,paatit,a,,paatit,n,,paatit qaatit,n son,,,?
vavut,tv,dec,sp,1,p,3,s,,n,,pavut,a,,pavut,n,,pavut qavut,n son,,,?
vasi,tv,dec,sp,2,p,3,s,,n,,pasi,a,,pasi,n,,pasi qasi,n son,,,?
vangat,tv,dec,sp,3,p,3,s,vaat,n,,pangat paat,a,,pangat paat,n,,pangat paat qangat qaat,n n son son,,,?
vattiguk,tv,dec,sp,2,p,1,d,,n,,pattiguk,a,,pattiguk,n,,pattiguk qattiguk,n son,,,?
vaatiguk,tv,dec,sp,3,p,1,d,,n,,paatiguk,a,,paatiguk,n,,paatiguk qaatiguk,n son,,,?
vassik,tv,dec,sp,1,p,2,d,,n,,passik,a,,passik,n,,passik qassik,n son,,,?
vaasik,tv,dec,sp,3,p,2,d,vaatik,n,,paasik paatik,a,,paasik paatik,n,,paasik paatik qaasik qaatik,n n son son,,,?
vaavut,tv,dec,sp,1,p,3,d,,n,,paavut,a,,paavut,n,,paavut qaavut,n son,,,?
vaassi,tv,dec,sp,2,p,3,d,,n,,paassi,a,,paassi,n,,paassi qaassi,n son,,,?
vaangik,tv,dec,sp,3,p,3,d,,n,,paangik,a,,paangik,n,,paangik qaangik,n son,,,?
vattigut,tv,dec,sp,2,p,1,p,vaptigut,n,,pattigut paptigut,a,,pattigut paptigut,n,,pattigut paptigut qattigut qaptigut,n n son son,,,?
vaatigut,tv,dec,sp,3,p,1,p,,n,,paatigut,a,,paatigut,n,,paatigut qaatigut,n son,,,?
vassi,tv,dec,sp,1,p,2,p,vapsi,n,,passi papsi,a,,passi papsi,n,,passi papsi qassi qapsi,n n son son,,,?
vaasi,tv,dec,sp,3,p,2,p,,n,,paasi,a,,paasi,n,,paasi qaasi,n son,,,?
vavut,tv,dec,sp,1,p,3,p,,n,,pavut,a,,pavut,n,,pavut qavut,n son,,,?
vasi,tv,dec,sp,2,p,3,p,,n,,pasi,a,,pasi,n,,pasi qasi,n son,,,?
vangit,tv,dec,sp,3,p,3,p,vait,n,,pangit pait,a,,pangit pait,n,,pangit pait qangit qait,n n son son,,,?
vittiguk,tv,int,sp,2,s,1,d,vittikkuk,n,,pittiguk pittikkuk,n,,pittiguk pittikkuk,n,,pittiguk pittikkuk qittiguk qittikkuk,n n son son,,,?
vaatiguk,tv,int,sp,3,s,1,d,,n,,paatiguk,n,,paatiguk,n,,paatiguk qaatiguk,n son,,,?
vassik,tv,int,sp,1,s,2,d,,n,,passik,n,,passik,n,,passik qassik,n son,,,?
vaatik,tv,int,sp,3,s,2,d,,n,,paatik,n,,paatik,n,,paatik qaatik,n son,,,?
vaakka,tv,int,sp,1,s,3,d,,n,,paakka,n,,paakka,n,,paakka qaakka,n son,,,?
vigik,tv,int,sp,2,s,3,d,,n,,pigik,n,,pigik,n,,pigik qigik,n son,,,?
vagik,tv,int,sp,3,s,3,d,vakkik,n,,pagik pakkik,n,,pagik pakkik,n,,pagik pakkik qagik qakkik,n n son son,,,?
vittigut,tv,int,sp,2,s,1,p,,n,,pittigut,n,,pittigut,n,,pittigut qittigut,n son,,,?
vaatigut,tv,int,sp,3,s,1,p,,n,,paatigut,n,,paatigut,n,,paatigut qaatigut,n son,,,?
vassi,tv,int,sp,1,s,2,p,,n,,passi,n,,passi,n,,passi qassi,n son,,,?
vaasi,tv,int,sp,3,s,2,p,,n,,paasi,n,,paasi,n,,paasi qaasi,n son,,,?
vakka,tv,int,sp,1,s,3,p,,n,,pakka,n,,pakka,n,,pakka qakka,n son,,,?
vigit,tv,int,sp,2,s,3,p,,n,,pigit,n,,pigit,n,,pigit qigit,n son,,,?
