morpheme,type,mode,specificity,perSubject,numbSubject,perObject,numbObject,V-form,V-action1,V-action2,t-form,t-action1,t-action2,k-form,k-action1,k-action2,q-form,q-action1,q-action2,condPrecSpecific,sources
mangaattigit,tv,dub,sp,1,d,3,p,,i(ng),,,a,,,nas,,,nas,,,?
mangaattikit,tv,dub,sp,2,d,3,p,,i(ng),,,a,,,nas,,,nas,,,?
mangaarmikkit,tv,dub,sp,3,d,3,p,,i(ng),,,a,,,nas,,,nas,,,?
mangaakkit,tv,dub,sp,4,d,3,p,,i(ng),,,a,,,nas,,,nas,,,?
mangaassinga,tv,dub,sp,2,p,1,s,,i(ng),,,a,,,nas,,,nas,,,?
mangaarminga,tv,dub,sp,3,p,1,s,,i(ng),,,a,,,nas,,,nas,,,?
mangaanga,tv,dub,sp,4,p,1,s,,i(ng),,,a,,,nas,,,nas,,,?
mangaattigit,tv,dub,sp,1,p,2,s,,i(ng),,,a,,,nas,,,nas,,,?
mangaarmitit,tv,dub,sp,3,p,2,s,,i(ng),,,a,,,nas,,,nas,,,?
mangaatit,tv,dub,sp,4,p,2,s,,i(ng),,,a,,,nas,,,nas,,,?
mangaattigu,tv,dub,sp,1,p,3,s,,i(ng),,,a,,,nas,,,nas,,,?
mangaassiuk,tv,dub,sp,2,p,3,s,,i(ng),,,a,,,nas,,,nas,,,?
mangaarmijjuk,tv,dub,sp,3,p,3,s,,i(ng),,,a,,,nas,,,nas,,,?
mangaajjuk,tv,dub,sp,4,p,3,s,,i(ng),,,a,,,nas,,,nas,,,?
mangaattiguk,tv,dub,sp,2,p,1,d,,i(ng),,,a,,,nas,,,nas,,,?
mangaarmitiguk,tv,dub,sp,3,p,1,d,,i(ng),,,a,,,nas,,,nas,,,?
mangaatiguk,tv,dub,sp,4,p,1,d,,i(ng),,,a,,,nas,,,nas,,,?
mangaassik,tv,dub,sp,1,p,2,d,,i(ng),,,a,,,nas,,,nas,,,?
mangaarmitik,tv,dub,sp,3,p,2,d,,i(ng),,,a,,,nas,,,nas,,,?
mangaatik,tv,dub,sp,4,p,2,d,,i(ng),,,a,,,nas,,,nas,,,?
mangaattigik,tv,dub,sp,1,p,3,d,,i(ng),,,a,,,nas,,,nas,,,?
mangaassigik,tv,dub,sp,2,p,3,d,,i(ng),,,a,,,nas,,,nas,,,?
mangaarmigik,tv,dub,sp,3,p,3,d,,i(ng),,,a,,,nas,,,nas,,,?
mangaagik,tv,dub,sp,4,p,3,d,,i(ng),,,a,,,nas,,,nas,,,?
mangaattigut,tv,dub,sp,2,p,1,p,,i(ng),,,a,,,nas,,,nas,,,?
mangaarmitigut,tv,dub,sp,3,p,1,p,,i(ng),,,a,,,nas,,,nas,,,?
mangaatigut,tv,dub,sp,4,p,1,p,,i(ng),,,a,,,nas,,,nas,,,?
mangaassi,tv,dub,sp,1,p,2,p,,i(ng),,,a,,,nas,,,nas,,,?
mangaarmisi,tv,dub,sp,3,p,2,p,,i(ng),,,a,,,nas,,,nas,,,?
mangaasi,tv,dub,sp,4,p,2,p,,i(ng),,,a,,,nas,,,nas,,,?
mangaattigit,tv,dub,sp,1,p,3,p,,i(ng),,,a,,,nas,,,nas,,,?
mangaassigit,tv,dub,sp,2,p,3,p,,i(ng),,,a,,,nas,,,nas,,,?
mangaarmigit,tv,dub,sp,3,p,3,p,,i(ng),,,a,,,nas,,,nas,,,?
mangaagit,tv,dub,sp,4,p,3,p,,i(ng),,,a,,,nas,,,nas,,,?
