morpheme,variant,nb,type,transitivity,nature,number,compositionRoot,plural,intransSuffix,transSuffix,antipassive,engMean,freMean,dialect,combination,root,rootNb,rootType,END
naujajjuaq,,1,n,,zoo,,,,,,,sea gull; herring gull,mouette; goéland argenté,,,nauja,1,n,.
naujavak,naujavik,1,n,,zoo,,,,,,,herring or glaucous gull,goéland argenté ou goéland à ailes grises,,,nauja,1,n,.
naukkiaq,,1,v,t,,,,,,,si/1vv,[T]to throw a spear or harpoon at s.t.[P]to be thrown a spear or harpoon at,[T]lancer une lance ou un harpon sur qqch.[P]se faire lancer une lance ou un harpon dessus,,,,,,.
nauligaut,,1,n,,,,,,,,,fish spear or javelin,harpon ou javelot à poisson,,,,,,.
naulik,,1,v,t,,,,,,,si/1vv,[-R]to /harpoon or /spear s.t.,[-R]/harponner qqch.,,,,,,.
naullaq,,1,n,,,,,,,,,wound of harpoon or spear point,blessure causée par la pointe d'un harpon,,,,,,.
nibjaartitaq,,1,n,,,,,,,,,accordion or concertina (Padl.),accordéon ou concertina (Padl.),,,nibjaaq,1,v,.
nigjuarjuk,,1,n,,zoo,,,,,,,small red-brown earth spider of barren lands,petite araignée terrestre rouge-brun des terres arides,,,nigjuk,1,n,.
niksaaqtuq,,1,n,,zoo,,,,,,,ptarmigan,ptarmigan,,,niksaaq,1,v,.
nilirnaktuq,,1,n,,,,,,,,,bean,fève,,,niliq,1,v,.
nimartuq,,1,n,,zoo,,,,,,,jelly-fish,méduse,,,,,,.
ningiusuk,,1,n,,,,,,,,,girld friend (S. Baffin),amie de coeur (Baffin sud),,,ningiuq,1,n,.
nipit,,2,v,t,res,,,,,,i/1vv si/1vv,to /stick s.t. to something or /make s.t. to adhere to something,/coller qqch. à quelque chose; [T]faire adhérer qqch. à quelque chose[P]être dans l'état où quelqu'un l'a fait adhérer à quelque chose[R]adhérer à quelque chose,,nipi/1v+t/1vv,,,,.
niqaituq,,1,n,,,,,,,,,welfare,bien-être,,,niqi,1,n,.
niqaq,,1,v,i,a,,,,,,,"to have fattened out, become fleshier","avoir engraissé, grossi",,,niqi,1,n,.
niqittijuq,,1,n,,,,,,,,,Friday,vendredi,,,,,,.
nirlirnaq,,1,n,,,,,,,,,Richardson's goose; common Brant goose,bernache cravant,,,nirliq,1,n,.
nirrit,nirritit,1,n,,,p,,,,,,eating utensils,ustensiles,,,niri,1,v,.
niurrut,,1,n,,,,,,,,,reason to come in or commute or trade from outlying camp,"raison de venir, de voyager, ou de marchander, en provenance d'un campement isolé",,,niurru,1,v,.
nubvit,,1,n,,,,,,,,,beading needle,"aiguille à perles, à gouttes",,,nuvi,1,v,.
nugluktaq,,1,n,,,,,,,,,"ivory or bone piece with holes used in the game of ""nu[g]luktartuq""","pièce en ivoire ou en os avec des trous utilisée dans le jeu de ""nu[g]luktartuq""",,,nugluk,1,v,.
nukatugag,,1,n,,zoo,,,,,,,yearling caribou or walrus,bébé caribou ou morse,,,nukaq,1,n,.
nuliaq,,1,v,i,,,,,,,,to copulate,copuler,,,nuliaq,1,n,.
nuliasuk,,1,n,,,,,,,,,bachelor (one not yet married),célibataire,,,nuliaq,1,n,.
nuliu,,1,v,i,a,,,,,,,"to be in heat, speaking of a female dog or bitch","être en chaleur, en parlant d'une chienne",,,nuliaq,1,n,.
nunajaq,,1,n,,,,,,,,,shrub,arbuste,,,nuna,1,n,.
nunalik,,1,n,,,,,,,,,camp; village; settlement; community,campement; village; communauté,,,nuna,1,n,.
nunaqarvik,,1,n,,,,,,,,,camp; village; settlement; community,campement; village; communauté,,,nuna,1,n,.
nurrait,,1,n,,,p,,,,,,month of May,mois de mai,,,nurraq,1,n,.
nutaqqi,,1,v,i,,,,,,,,to give birth to a child,donner naissance à un enfant,,,nutaraq,1,n,.
nuvirsaaksaq,,1,n,,,,,,,,,knitting wool; yarn,laine à tricoter; fibre textile,,,nuvirsaq,1,v,.
nuvirsaaq,,1,n,,,,,,,,,woolen article,article en laine,,,nuvirsaq,1,v,.
paani,,1,a,,,,,,,,,in heaven,au ciel,,pagga/rad-ml+ani/tad-loc,,,,.
pakinaq,,1,v,i,,,,,,nil,,to draw s.t. in or press s.t. in repeatedly,rentrer ou enfoncer qqch. de façon répétée,,,pakinik,1,v,.
pamialluq,,1,n,,ana,,,,,,,sacrum,sacrum,,,pamiuq,1,n,.
pamii,,1,v,i,,,,,,,,to stick its tail up in the air,lever la queue en l'air,,,pamiuq,1,n,.
pamiulik,,1,n,,zoo,,,,,,,black squirmer; tadpole,têtard,,,pamiuq,1,n,.
pamiurtuq,,1,n,,zoo,,,,,,,otter,loutre,,,pamiuq,1,n,.
papiqquq,,1,n,,,,,,,,,bird's tail,queue d'oiseau,,,papik,1,n,.
papirursuq,,1,v,i,,,,,,nil,,"to steer, to guide a vehicle",conduire un véhicule,,,papik,1,n,.
paurngaaluk,,1,n,,,,,,,,,apple; peach; etc.,pomme; pêche; etc.,,,paurgnaq,1,n,.
paut,,1,n,,,,,,,,,paddle,pagaie,,,paruq,1,v,.
pikiut,,1,v,i,,,,,,,,to find bird's eggs,chercher des oeufs d'oiseau,,,pikiu,1,n,.
pingajuat,,1,n,,,,,,,,,Wednesday [WCHB; N. Baffin],mercredi (Baffin sud; côte est Baie d'Hudson),,,pingasut,1,n,.
pingattituq,,1,n,,,,,,,,,Wednesday [ECHB; S. Baffin],mercredi (Baffin sud; côte est Baie d'Hudson),,,pingasut,1,n,.
pinngitturtuq,,1,n,,,,,,,,,relief ship or relief expedition to meet party with supplies at specified date,bateau ou expédition de secours pour apporter des provisions à une date déterminée,,,pi,1,v,.
piqannirijaq,piqannarijaq,1,n,,,,,,,,,friend,amie de coeur (Baffin sud),,,piqanniq,1,v,.
piqatik,,1,n,,,,,,,,,partner; companion; associate; team-mate,paternaire; compagnon; associé; coéquipier,,,pi,1,v,.
pirluaq,,1,n,,,,,,,,,abortion; miscarried birth,avortement,,,pirliq,1,v,.
