morpheme,variant,nb,type,nature,number,compositionRoot,freMean,engMean,combination,root,END
tikirarjuaq,,1,n,place,,,Whale Cove,Whale Cove,,,.
tinittuktuq,,1,n,place,,,Mistake Bay (Tavane; près de Rankin Inlet),Mistake Bay (Tavane; near Rankin Inlet),,tinit,.
titiqqartalik,,1,n,place,,,une des îles Harbour (dans la région de Repulse Bay),one of Harbour Islands (Repulse Bay area),,titiq,.
tujjaaq,,1,n,place,,,l'île de Cornwallis,Cornwallis Island,,,.
tujjaaq,,2,n,place,,,l'île Nottingham (Détroit d'Hudson),Nottingham Island (Hudson Straits),,,.
tuktujaqtuk,,1,n,place,,,Tuktoyaktuk,Tuktoyaktuk,,,.
tulattarvik,,1,n,place,,,Moose Factory,Moose Factory,,tular,.
tununiq,tunnuniq,1,n,place,,,endroit près de Pond Inlet,place about Pond Inlet,,tununiq,.
tununirusiq,,1,n,place,,,endroit dans les environs d'Arctic Bay,area about Arctic Bay,,tununiq,.
turaantu,turantu,1,n,place,,,Toronto,Toronto,,,.
turamHalu,turamHila turamHilar,1,n,place,,,Drumheller,Drumheller,,,.
tursukataaq,,1,n,place,,,Pond Inlet,Pond Inlet,,,.
uaitHuas,uaitHuasi,1,n,place,,,Whitehorse,Whitehorse,,,.
uglirjuaq,,1,n,place,,,île sud des deux îles Hall dans le canal Hurd,southern island of the two Hall Islands in Hurd Channel,,ugliq,.
uinipaik,uinipai uinipag,1,n,place,,,Winnipeg,Winnipeg,,,.
uiviiq,uiviq vuraas puraans,1,n,place,,,France,France,,,.
ukaHilak,,1,n,place,,,Ukahilak,Ukahilak,,,.
ukiuqtaqtuq,,1,n,place,,,l'Arctique,Arctic,ukiuq/1v+taq/1vv+juq/1vn,ukiuq,.
ukusiksalik,ukkusiksalik,1,n,place,,,les régions de Wager Bay et Back's River,Wager Bay & Back's River areas,,ukusik,.
uqqurmiut,,1,n,place,p,uqqurmiuq,Uqqurmiut,Uqqurmiut,,uqquu,.
uqsuqtuuq,,1,n,place,,,Gjoa Haven,Gjoa Haven,,ursuq,.
ursuriaq,,1,n,place,,,l'île Marble (côte ouest de la Baie d'Hudson),Marble Island (West Coast Hudson Bay),,ursuq,.
uumanarjuaq,,1,n,place,,,Blacklead Whaling Station,Blacklead Whaling Station,,,.
vaan,,1,n,place,,,Banff,Banff,,,.
vaaniviul,,1,n,place,,,Bonneyville,Bonneyville,,,.
vaankuuva,vaankuuvu vaankuva vankuva vaakuva,1,n,place,,,Vancouver,Vancouver,,,.
viakpuruk,piaruk,1,n,place,,,Fenbrook,Fenbrook,,,.
viiniks,,1,n,place,,,Phoenix,Phoenix,,,.
vuakutan, vaakuta uakutan,1,n,place,,,Walkerton,Walkerton,,,.
vuat,vuas,1,n,place,,,Fort,Fort,,,.
vuatan,,1,n,place,,,Bowden,Bowden,,,.
vujinia,vujinja vujjiinia vujjinia,1,n,place,,,Virginie,Virginia,,,.
vulin,vuulin,1,n,place,,,Berlin,Berlin,,,.
vuraakviul,,1,n,place,,,Brockville,Brockville,,,.
vuransuik,puransuriki,1,n,place,,,Brunswick,Brunswick,,,.
