morpheme,variant,nb,type,transitivity,nature,number,compositionRoot,plural,intransSuffix,transSuffix,antipassive,engMean,freMean,source,dialect,cf,END
utuqqaq,,1,n,,,,,,,,,old man,vieil homme,,,,.
uugaq,,1,n,,zoo,,,,,,,cod,,,,,
uujuq,,1,n,,,,,,,,,stew,,,,,
uuk,,1,v,t,,,,,,,si/1vv,[-R]to /try or /test s.t.,"[-R]/tester, /vérifier, /essayer qqch.",,,,.
uukkaq,,1,v,i,,,,,,,,to break off in part - said of the solid sea ice,se briser en morceaux (glace de mer solide),,,,.
uulik,,1,v,i,,,,,,,,to shiver from cold or fever,grelotter de froid ou de fièvre,,,,.
uuma,,1,v,i,a,,,,,,,"(1) to be alive (2) to be a living thing (3) to be a game animal (4) to be running - said of a mechanism: watch, clock, ...","(1) être vivant (2) être un être vivant (3) être un gibier (4) être en train de fonctionner (mécanisme: horloge, montre, ...)",,,,.
uumi,,1,v,i,e,,,,gusuk/1vv,gi/4vv,,to hate someone,haïr qqn,,,,.
uumilaq,,1,v,i,,,,,,,,to twist one's mouth into a wry gesture,se déformer la bouche en un geste moqueur ou humoristique,,,,.
uummat,,1,n,,ana,,,,,,,heart,coeur,,,,.
uut,,1,v,t,res,,,,,,si/1vv,"to /burn, /bake, /cook s.t.","/brûler, /cuire qqch.",,,,.
uuttuq,,1,n,,zoo,,,,,,,basking seal,phoque se prélassant au soleil,,,,.
uvattiutik,,1,n,,zoo,,,,,,,mink,vison,,,,.
uviluq,,1,n,,zoo,,,,,,,mussel,moule,,,,.
uvingiaq,,1,v,i,,,,,,nil,,to whistle (trans.: someone or at someone),siffler (trans.: qqn),,,,.
uvinik,,1,n,,ana,,,,,,,human flesh,,,,,
uviq,,1,v,t,res,,,,,,si/1vv,"to /tip or /tilt or /slant s.t. to one side, on an angle","/incliner qqch. sur un côté, à un angle",,,,.
