morpheme,variant,nb,type,transitivity,nature,number,compositionRoot,intransSuffix,transSuffix,antipassive,engMean,freMean,combination,dialect,root,rootType,rootNb,END
aggautisiut,,,n,,,,,,,,wrist-band; bracelet,bande de poignet; bracelet,aggaut/1n+siut/1nn,,aggak,,,.
aggiarjuk,,1,n,,zoo,,,,,,long-tailed squaw duck,canard à longue queue de Terre-Neuve,aggiq/2n+arjuk/1nn,,,,,.
agluaq,,,n,,,,,,,,fishing hole in ice,trou de pêche dans la glace,aglu/1n+aq,,,,1,.
agluuq,,1,v,i,,,,,,,"to dive or plunge head-first under water - said of an animal (bird, seal)","plonger tête première sous l'eau - en parlant d'un animal (oiseau, phoque)",aglu/1n+uq,,,,1,.
agluuq,,2,v,i,a,,,,,,to have one's jaws pulled apart,avoir ses mâchoires écartées,?,,,,,.
ainnaak,,1,e,,,,,,,,exclamation of fear: 'You scared me!',"exclamation: ""Tu m'as fait peur !""",ainna+ak,,,,,.
airaumijaq,,1,v,i,,,,,,,"to have a wide range, speaking of a voice","avoir une grande étendue, parlant de la voix",?,,,,,.
aittukuluk,,1,a,,,,,,,,a little bit; a small quantity,un petit peu; une petite quantité,aittu+kulu/1nn,wchb northbaffin,,,,.
ajarausiq,,,n,,,,,,,,string figure,figure formée avec une corde,ajaraaq/1v+usiq/1vn,,,,,.
ajuqiqtuiji,ajugiqtuiji ajuqiqsuiji ajugiqsuiji,,n,,,,,,,,"Anglican missionary or minister, preacher",missionnaire ou ministre du culte anglican; prêcheur,ajuqiq/1v+tuq/1vv+i/1vv+ji/1vn,,,,,.
ajurnaq,,,v,i,,,,,,,cannot be helped,être impossible à faire,,,ajuq,,,.
akaqqi,akarri,1,v,i,a,,,,,,"to be more prosperous, to have better living conditions","être plus prospère, avoir de meilleures conditions de vie",,,akau,v,1,.
akpaliapik,,,n,,zoo,,,,,,dovekie,mergule nain,,,akpa,,,.
akpaliarjuq,,,n,,zoo,,,,,,dovekie,mergule nain,,,akpa,,,.
aksalik,,,v,t,,,,,,,[-R]to /rub or /work s.t. in circular fashion,[-R]/frotter qqch. avec un mouvement circulaire,,,,,,.
aksaluaq,,,n,,,,,,,,wheel; pulley; revolving disc,roue; poulie; disque rotatif,,,,,,.
aksualuk,,,a,,,,,,,,"(1) exhortation to apply a lot of pressure: ""Give it all you've got!""""; ""Apply a lot of pressure!"" (2) ""Very much so!""","(1) exhortation à appliquer beaucoup de pression: ""Donne tout ce que tu as!""; ""Force fort!"" (2) très; beaucoup",,,aksuq,n,1,.
aksunai,,,a,,,,,,,,"""Goodbye!"";  ""Nice seeing you!""","""Au revoir!""; ""Content de t'avoir vu!""",,ungava echb,aksuq,n,1,.
aksuruq,,1,v,i,,,,,,,"to do s.t. with force, strenght, effort or vigour","faire qqch. avec force, effort ou vigueur",,,aksuq,n,1,.
aksut,,,a,,,,,,,,"(1) exhortation to apply pressure: ""Apply pressure!"", ""Do it with force!"" (2) ""That's right!""; ""I certainly agree!""","(1) exhortation à appliquer une pression: ""Force!"" (2) ""C'est vrai!""; ""Je suis bien d'accord!""",,,aksuq,n,1,.
aktigi,,,v,i,a,,,,nil,,to be as big as,être aussi gros que,,,akti,,,.
aktuaji,,,n,,,,,,,,god-parent; god-father,parrain,,,aktuq,,,.
akuliaq,,1,n,,,,,,,,"space between the eyes, between the nostrils, between the fingers, etc.","espace entre les yeux, entre les narines, entre les doigts, etc.",,,aku,n,1,.
akuliarutaq,,1,n,,,,,,,,main or in-between sail,voile principale ou centrale,,,aku,n,1,.
akullit,,1,n,,,p,,,,,month of August,mois d'août,,,aku,n,1,.
akuni,,1,n,,,,,,,,"time interfal between events; ""long time""","intervalle de temps entre des événements; ""longtemps""",,,aku,n,1,.
akuni,,1,v,i,a,,,,,,"to be long, speaking of the wainting time","être long, en parlant du temps d'attente",,,aku,n,1,.
akuniq,,1,n,,,,,,,,(1) space or interval between objects or events (2) the middle of something  (3) connecting rod of engine,(1) espace ou intervalle entre des objets ou des événements (2) le milieu de quelque chose (3) bielle d'un moteur,,,aku,n,1,.
alaaksaq,,,n,,,,,,,,skins or other material for boot soles,peaux ou autre matériau pour semelle de botte,,,ala,,,.
alianait,,,v,i,e,,,gusuk/1vv,gi/4vv,,to be fun to do; to be fun to be with,être plaisant à faire; être plaisant d'être avec lui,,,alia,v,1,.
alianait,,1,e,,,,,,,,exclamation of pleasure or happiness: 'It's fun!',"exclamation de plaisir, de joie ou de bonheur : ""C'est plaisant !""",,,alia,v,1,.
aliktugaq,,,n,,,,,,,,aborted child,enfant avorté,,,alik,,,.
alilajuq,,,n,,,,,,,,paper,papier,,,alik,v,1,.
allannguaq,,,n,,,,,,,,narwhal,narval,,echb,allak,,,.
allarutiksaq,,,n,,,,,,,,wiping cloth; paper towel,linge à essuyer; essuie-tout en papier,,,allaq,,,.
allasima,,,v,,,,,,,,"to be a writing, a letter, a book","être une chose écrite, une lettre, un livre",,southbaffin echb,allak,,,.
allaviksaq,,,n,,,,,,,,writing paper,papier à écrire,,echb southbaffin,allak,,,.
allirittuq,,1,n,,,,,,,,Monday,lundi,,ECHB,,,,.
allituq,,1,n,,,,,,,,Sunday,dimanche,,ECHB,,,,.
alluaq,,1,v,i,,,,,,,to hurt the sole of one's foot from walking on sharp objects,se blesser la plante du pied en marchant sur des objets pointus,,,aluq,,,.
alluraq,,1,n,,,,,,,,threshold; door-sill,seuil; seuil de porte,,wchb,alluq,,,.
alluraujautiik,,1,n,,,d,,,,,bicycle,bicycle,,wchb,alluq,,,.
aluiqqaniq,,1,n,,,,,,,,snow drift,amoncellement de neige,,,,,,.
alutursaq,,1,v,i,a,,,,,,to be delighted or happy over a new acquisition,"être ravi, heureux d'une nouvelle acquisition",,,,,,.
amaamak,,1,v,i,,,,,,,to suckle at the breast,téter au sein,,,amaama,n,1,.
amaamakitajaq,,,n,,,,,,,,orange (the fruit),orange (le fruit),,,amaama,n,1,.
amaaq,,,v,i,,,,,,,to carry (a baby or other) in her hood,porter (un bébé ou autre) dans son capuchon,,,amaq,n,1,.
amiaq,,,n,,,,,,,,thin covering: skin; film; varnish; paint,couche mince: peau; film; vernis; peinture,,,amiq,n,1,.
amiaq,,,v,t,,,,,,,to cover with a thin covering; to paint; to varnish,couvrir avec une couche mince; vernir; peinturer,,,amiq,v,1,.
amiraq,,,n,,,,,,,,fish skin; skin of caribou horns,peau de poisson; peau des bois du caribou,,,amiq,n,1,.
amirtaq,,,n,,,,,,,,skin covering of a boat,recouvrement en peau d'un bateau,,,amiq,n,1,.
ammujaq,,,n,,,,,,,,drawer,tiroir,,,ammut,,,.
ammujaqtuq,,,n,,,,,,,,piston of engine,piston de moteur,,,ammut,,,.
ammuliut,,,n,,,,,,,,capstan,cabestan,,southbaffin,ammut,,,.
ammuqqut,,,n,,,,,,,,capstan,cabestan,,wchb,ammut,,,.
anaanaksaq,,,n,,,,,,,,stepmother,belle-mère,,,anaana,,,.
anaanattiaq,,,n,,,,,,,,grandmother,grand-mère,,,anaana,,,.
ananngiq,,,n,,zoo,,,,,,dung-fly; house-fly,mouche à merde; mouche domestique,,,anaq,,,.
